brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
11six24,Jelly Bean Pegasus 14mm,99.99,411,5.75,14,4.125,Wide body,"Fiberglass,Raw carbon fiber",Polymer Honeycomb,109,6.91,
Adidas,Adipower pro 14,189,657,5.5,14,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,123,6.38,
Adidas,Adipower pro 16 c,189,656,5.5,16,4.25,Wide body,Raw carbon fiber,Polymer Honeycomb,118.69,7.01,
Adidas,Adipower pro 16,189,655,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,126.21,6.22,
Adidas,Metalbone 14.5,229,568,5.5,14.5,4.25,Elongated,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,109,4.94,
Adidas,Metalbone LP 16mm,249.99,567,5.5,16,4.25,Elongated,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,120,5.42,
Adidas,Metalbone LP Team,209,566,5.5,16,4.25,Elongated,"Carbon Fiber,(Paint Grit)",EVA Foam,112,4.93,
Adidas,Metalbone LP S,249.99,565,5.5,16,4.25,Elongated,"Carbon Fiber,(Paint Grit)",EVA Foam,116,5.22,
Adidas,Metalbone,259.99,287,5.5,13,4.125,Elongated,Carbon Fiber,PMI Foam,116,5.62,
Adidas,AdiPower CTRL,199.99,237,5,14,4.125,Standard,Carbon Fiber,Polymer Honeycomb,111,6.82,
Adidas,Adipower Carbon Team,159.99,236,5.5,16,4.5,Elongated,Carbon Fiber,Polymer Honeycomb,116,5.72,
Adidas,AdiPower Attk 2,199.99,235,5,14,4.125,Elongated,Carbon Fiber,Polymer Honeycomb,116,6.00,
Adidas,Match Light 2,69.99,202,4.75,14,4.125,Standard,Fiberglass,Polymer Honeycomb,96,6.68,
Adidas,Drive 2,69.99,201,4.75,14,4.125,Standard,Fiberglass,Polymer Honeycomb,105,7.11,
Aiso,Centric 16mm,99.99,345,5.3,16,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,118,6.27,
Avoura,Rivelle,199,618,5.5,13,4.1,Elongated,Raw carbon fiber,Polymer Honeycomb,111,6.08,
Avoura,Revaya,199,617,5.5,13,4.1,Hybrid,Raw carbon fiber,Polymer Honeycomb,111,5.43,
Avoura,Rhapsody 13mm,225,491,5.25,13,4.125,Wide body,Raw carbon fiber,Polymer Honeycomb,105,7.18,
Babolat,Strikr+,219,537,5.5,13,4.0,Elongated,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,121,6.26,
Babolat,Ballr+,219,536,5.5,16,4.0,Hybrid,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,111,6,
Babolat,Wzrd,219,535,5,20,4.0,Wide body,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,108,6.38,
Ballr,Ballr Pro,99.99,231,6,16,4.5,Elongated,Raw carbon fiber,Polymer Honeycomb,126,6.18,
Body Helix,FLIK F1,190,619,5.3,16,4.15,Elongated,Raw carbon fiber,EPP Foam,115.75,6,
Body Helix,X4 Carbon,140,445,5.25,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,116,6.54,
Body Helix,X4 Kevlar,140,444,5.25,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,115,6.52,
Body Helix,X5,140,442,5.7,16,4.25,Standard,Kevlar,Polymer Honeycomb,116,7.23,
Body Helix,X1,160,224,5.25,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,122,6.85,
Bread & Butter,Loco Widebody,199,640,5.3,16,4.125,Wide body,Raw carbon fiber,EPP Foam,110,7.34,
Bread & Butter,Loco Hybrid,199,635,5.3,16,4.125,Hybrid,Raw carbon fiber,EPP Foam,112.05,6.52,
Bread & Butter,Loco Widebody,199,633,5.3,16,4.125,Wide body,Raw carbon fiber,EPP Foam,110,7.34,
Bread & Butter,Loco Hybrid,199,632,5.3,16,4.125,Hybrid,Raw carbon fiber,EPP Foam,112.05,6.52,
Bread & Butter,Wild thang,189,621,5.5,16,4.25,Elongated,Carbon Fiber,Polymer Honeycomb,113.38,5.92,
Bread & Butter,Filth Standard,165,547,5.3,16,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,109,7.32,
Bread & Butter,Filth Hybrid,165,546,5.5,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,112,6.7,
Bread & Butter,Fat Boy,189.99,393,5.3,16,4.25,Standard,Kevlar,Polymer Honeycomb,109,7.19,
Bread & Butter,Shogun,189.99,381,5.5,16,4.25,Elongated,"Carbon Fiber,Titanium",Polymer Honeycomb,120,6.18,
Bread & Butter,Filth Elongated,165,193,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,121,6.16,
Chorus Pickleball,Echo EX,109,515,5.6,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,114,6.19,
Chorus Pickleball,Echo HX,109,514,5.6,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,110,6.42,
Chorus Pickleball,Echo SX,109,513,5.6,16,4.25,Wide body,Raw carbon fiber,Polymer Honeycomb,107,7.22,
Chorus Pickleball,Supercourt EX,119,512,5.6,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,114,6.28,
Chorus Pickleball,Supercourt HX,119,511,5.6,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,113,6.66,
Chorus Pickleball,Supercourt SX,119,510,5.6,16,4.25,Wide body,Raw carbon fiber,Polymer Honeycomb,109,7.22,
Chorus Pickleball,Fire EX,169.99,480,5.6,14,4.25,Elongated,"titanium (polyester threads),Carbon Fiber,Fiberglass",Polymer Honeycomb,113,6.09,
Chorus Pickleball,Fire HX,169.99,479,5.6,14,4.25,Hybrid,"titanium (polyester threads),Carbon Fiber,Fiberglass",Polymer Honeycomb,110,6.33,
Chorus Pickleball,Fire SX,169.99,478,5.6,14,4.25,Wide body,"titanium (polyester threads),Carbon Fiber,Fiberglass",Polymer Honeycomb,106,6.96,
Chorus Pickleball,Shapeshifter EX,174.99,453,5.6,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,115,6.07,
Chorus Pickleball,Shapeshifter HX,174.99,452,5.6,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,112,6.21,
Chorus Pickleball,Shapeshifter SX,174.99,451,5.6,16,4.25,Wide body,Raw carbon fiber,Polymer Honeycomb,109,6.96,
Chorus Pickleball,Shapeshifter (old aero head),189.99,401,5.3,16,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,119,6.91,
CRBN,Waves 2,280,644,5.5,14,4.125,Wide body,Raw carbon fiber,EPP Foam,112.52,6.83,
CRBN,Waves 4,280,643,5.5,14,4.125,Hybrid,Raw carbon fiber,EPP Foam,111.28,6.48,
CRBN,Waves 3,280,642,5.5,14,4.125,Elongated,Raw carbon fiber,EPP Foam,119.49,6.53,
CRBN,Waves 1,280,641,5.5,14,4.125,Elongated,Raw carbon fiber,EPP Foam,118.62,5.66,
CRBN,CRBN4 TruFoam Genesis,280,616,5.5,14,4.125,Hybrid,Raw carbon fiber,EPP Foam,111,6.28,
CRBN,CRBN3 TruFoam Genesis,279.99,533,5.25,14,4.125,Elongated,"Raw carbon fiber,Fiberglass",foam,125,6.38,
CRBN,CRBN2 TruFoam Genesis,279.99,532,5.25,14,4.125,Wide body,"Raw carbon fiber,Fiberglass",foam,112,6.68,
CRBN,CRBN1 TruFoam Genesis,279.99,531,5.5,14,4.125,Elongated,"Raw carbon fiber,Fiberglass",foam,117,5.4,
CRBN,CRBN2 13mm,179.99,257,4.75,13,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,102,6.45,
